| time |reset|ARegister|DRegister|PC[]|RAM16K[16]|RAM16K[17]|RAM16K[18]|
| 0    |  0  |       0 |       0 |   0|       57 |       28 |        0 |
| 1    |  0  |      16 |       0 |   1|       57 |       28 |        0 |
| 2    |  0  |      16 |      57 |   2|       57 |       28 |        0 |
| 3    |  0  |      17 |      57 |   3|       57 |       28 |        0 |
| 4    |  0  |      17 |      29 |   4|       57 |       28 |        0 |
| 5    |  0  |      10 |      29 |   5|       57 |       28 |        0 |
| 6    |  0  |      10 |      29 |  10|       57 |       28 |        0 |
| 7    |  0  |      18 |      29 |  11|       57 |       28 |        0 |
| 8    |  0  |      18 |      29 |  12|       57 |       28 |       29 |
| 9    |  0  |      12 |      29 |  13|       57 |       28 |       29 |
| 10   |  0  |      12 |      29 |  12|       57 |       28 |       29 |
| 11   |  0  |      12 |      29 |  13|       57 |       28 |       29 |
| 12   |  0  |      12 |      29 |  12|       57 |       28 |       29 |
| 13   |  0  |      12 |      29 |  13|       57 |       28 |       29 |
| 14   |  0  |      12 |      29 |  12|       57 |       28 |       29 |
| 15   |  0  |      12 |      29 |  13|       57 |       28 |       29 |
| 16   |  0  |      12 |      29 |  12|       57 |       28 |       29 |
| 17   |  0  |      12 |      29 |  13|       57 |       28 |       29 |
| 18   |  0  |      12 |      29 |  12|       57 |       28 |       29 |
| 19   |  0  |      12 |      29 |  13|       57 |       28 |       29 |
| 20   |  0  |      12 |      29 |  12|       57 |       28 |       29 |
| 21   |  0  |      12 |      29 |  13|       57 |       28 |       29 |
| 22   |  0  |      12 |      29 |  12|       57 |       28 |       29 |
| 23   |  0  |      12 |      29 |  13|       57 |       28 |       29 |
| 24   |  0  |      12 |      29 |  12|       57 |       28 |       29 |
| 25   |  0  |      12 |      29 |  13|       57 |       28 |       29 |
| 26   |  1  |      12 |      29 |   0|       57 |       28 |       29 |
| 27   |  0  |      16 |      29 |   1|       14 |      991 |       29 |
| 28   |  0  |      16 |      14 |   2|       14 |      991 |       29 |
| 29   |  0  |      17 |      14 |   3|       14 |      991 |       29 |
| 30   |  0  |      17 |    -977 |   4|       14 |      991 |       29 |
| 31   |  0  |      10 |    -977 |   5|       14 |      991 |       29 |
| 32   |  0  |      10 |    -977 |   6|       14 |      991 |       29 |
| 33   |  0  |      17 |    -977 |   7|       14 |      991 |       29 |
| 34   |  0  |      17 |     991 |   8|       14 |      991 |       29 |
| 35   |  0  |      16 |     991 |   9|       14 |      991 |       29 |
| 36   |  0  |      16 |     977 |  10|       14 |      991 |       29 |
| 37   |  0  |      18 |     977 |  11|       14 |      991 |       29 |
| 38   |  0  |      18 |     977 |  12|       14 |      991 |      977 |
| 39   |  0  |      12 |     977 |  13|       14 |      991 |      977 |
| 40   |  0  |      12 |     977 |  12|       14 |      991 |      977 |
| 41   |  0  |      12 |     977 |  13|       14 |      991 |      977 |
| 42   |  0  |      12 |     977 |  12|       14 |      991 |      977 |
| 43   |  0  |      12 |     977 |  13|       14 |      991 |      977 |
| 44   |  0  |      12 |     977 |  12|       14 |      991 |      977 |
| 45   |  0  |      12 |     977 |  13|       14 |      991 |      977 |
| 46   |  0  |      12 |     977 |  12|       14 |      991 |      977 |
| 47   |  0  |      12 |     977 |  13|       14 |      991 |      977 |
| 48   |  0  |      12 |     977 |  12|       14 |      991 |      977 |
| 49   |  0  |      12 |     977 |  13|       14 |      991 |      977 |
| 50   |  0  |      12 |     977 |  12|       14 |      991 |      977 |
| 51   |  0  |      12 |     977 |  13|       14 |      991 |      977 |
